0.62866    0.25132     0.15078     0.44260   0 0   2 4
0.62866   -0.25132     0.15078     0.44260   0 0   2 4
0.62866    0.75396     0.15078     0.44260   0 0   2 4
0.62866   -0.75396     0.15078     0.44260   0 0   2 4
0.62866    1.25660     0.15078     0.44260   0 0   2 4
0.62866   -1.25660     0.15078     0.44260   0 0   2 4
1.07220    1.75370     0.23694     0.08852   0 0   2 2
1.13680    1.94090     0.36618     0.26556   0 0   4 3 
1.07220   -1.75370     0.23694     0.08852   0 0   2 2
1.13680   -1.94090     0.36618     0.26556   0 0   4 3
2.94560    1.59070     0.11844     0.20340   0 0   1 2
2.94560   -1.59070     0.11844     0.20340   0 0   1 2
3.26980    0.90419     0.07896     0.16272   0 0   1 2
3.26980   -0.90419     0.07896     0.16272   0 0   1 2
